CAEEL00001	ENSG00000203740	1:m	
CAEEL00001	ENSG00000148335	1:m	624123
CAEEL00004	ENSG00000130766	1:m	
CAEEL00004	ENSG00000149212	1:m	
CAEEL00004	ENSG00000080546	1:m	
CAEEL00006	ENSG00000164162	1:1	323163
CAEEL00007	ENSG00000087157	1:1	816331
CAEEL00009	ENSG00000103653	1:1	152732
CAEEL00018	ENSG00000103769	1:m	
CAEEL00018	ENSG00000185236	1:m	305570
CAEEL00019	ENSG00000147604	1:1	
CAEEL00027	ENSG00000140279	n:m	
CAEEL00027	ENSG00000137857	n:m	
CAEEL00029	ENSG00000140279	n:m	
CAEEL00029	ENSG00000137857	n:m	
CAEEL00033	ENSG00000127554	1:1	
CAEEL00049	ENSG00000187773	1:1	
CAEEL00050	ENSG00000133475	1:1	
CAEEL00051	ENSG00000065150	1:1	
CAEEL00052	ENSG00000124207	1:1	38281
CAEEL00053	ENSG00000087269	1:1	94066
CAEEL00054	ENSG00000106524	1:1	55127
CAEEL00060	ENSG00000196236	1:1	
CAEEL00079	ENSG00000151726	1:1	
CAEEL00084	ENSG00000253506	1:1	
CAEEL00085	ENSG00000123124	1:1	
CAEEL00092	ENSG00000066933	1:m	
CAEEL00092	ENSG00000099331	1:m	
CAEEL00096	ENSG00000141543	n:1	132916
CAEEL00097	ENSG00000176108	1:1	
CAEEL00101	ENSG00000068120	1:1	130493
CAEEL00108	ENSG00000105617	1:m	348141
CAEEL00108	ENSG00000276959	1:m	
CAEEL00119	ENSG00000080618	n:m	
CAEEL00119	ENSG00000153002	n:m	
CAEEL00119	ENSG00000163751	n:m	
CAEEL00119	ENSG00000165078	n:m	
CAEEL00120	ENSG00000085276	1:1	
CAEEL00122	ENSG00000058091	1:1	
CAEEL00124	ENSG00000105278	1:1	
CAEEL00128	ENSG00000065135	n:m	
CAEEL00128	ENSG00000114353	n:m	
CAEEL00128	ENSG00000127955	n:m	
CAEEL00138	ENSG00000147421	1:1	
CAEEL00145	ENSG00000198901	1:1	
CAEEL00148	ENSG00000173221	n:1	
CAEEL00151	ENSG00000132612	1:m	169285
CAEEL00151	ENSG00000119541	1:m	
CAEEL00153	ENSG00000087460	1:1	
CAEEL00157	ENSG00000159792	1:m	
CAEEL00157	ENSG00000147613	1:m	
CAEEL00159	ENSG00000152804	1:1	
CAEEL00161	ENSG00000157823	1:m	
CAEEL00161	ENSG00000177879	1:m	317930
CAEEL00162	ENSG00000215472	1:m	
CAEEL00162	ENSG00000265681	1:m	
CAEEL00164	ENSG00000197150	1:1	
CAEEL00165	ENSG00000005007	1:1	
CAEEL00166	ENSG00000037474	1:1	
CAEEL00167	ENSG00000138641	1:1	
CAEEL00175	ENSG00000196730	1:1	82431
CAEEL00180	ENSG00000136867	n:1	
CAEEL00182	ENSG00000124299	1:1	146056
CAEEL00184	ENSG00000173598	1:m	343205
CAEEL00184	ENSG00000272325	1:m	
CAEEL00184	ENSG00000122824	1:m	
CAEEL00184	ENSG00000196368	1:m	
CAEEL00189	ENSG00000185917	1:1	
CAEEL00193	ENSG00000137547	1:1	
CAEEL00194	ENSG00000153037	1:1	361979
CAEEL00195	ENSG00000196586	n:1	
CAEEL00199	ENSG00000134769	1:m	
CAEEL00199	ENSG00000138101	1:m	
CAEEL00201	ENSG00000262826	1:1	
CAEEL00203	ENSG00000069869	1:1	
CAEEL00204	ENSG00000176105	n:m	
CAEEL00204	ENSG00000197122	n:m	
CAEEL00204	ENSG00000010810	n:m	
CAEEL00206	ENSG00000110660	1:m	
CAEEL00206	ENSG00000196376	1:m	
CAEEL00209	ENSG00000276072	1:1	132833
CAEEL00210	ENSG00000166619	1:1	715478
CAEEL00211	ENSG00000142784	1:1	
CAEEL00212	ENSG00000158850	1:m	
CAEEL00212	ENSG00000086062	1:m	
CAEEL00213	ENSG00000007080	1:1	255742
CAEEL00222	ENSG00000108960	1:m	
CAEEL00222	ENSG00000136297	1:m	
CAEEL00224	ENSG00000168509	1:m	
CAEEL00224	ENSG00000182175	1:m	
CAEEL00224	ENSG00000174136	1:m	
